City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,badger,64.8,-147.5333,8.95,93,100,1.54,US,1694501305
114,coquimbo,-29.9533,-71.3436,12.85,82,75,1.54,CL,1694500996
115,mo i rana,66.3128,14.1428,11.29,93,75,2.06,NO,1694501305
116,karratha,-20.7377,116.8463,31.63,25,71,6.11,AU,1694501306
117,dubovka,49.0583,44.829,15.53,48,77,3.85,RU,1694501306
118,mejit,10.2753,170.8646,28.8,79,100,6.92,MH,1694501306
119,contamana,-7.3333,-75.0167,23.68,79,21,1.19,PE,1694501306
120,taroa,8.7058,171.2275,28.89,75,99,6.54,MH,1694501306
121,yarmouth,41.7057,-70.2286,22.08,96,100,1.54,US,1694501307
122,xiongzhou,25.1167,114.3,30.45,76,99,1.12,CN,1694501307
123,hithadhoo,-0.6,73.0833,28.05,76,22,5.82,MV,1694501307
124,severo-yeniseyskiy,60.3725,93.0408,13.34,49,9,2.15,RU,1694501307
125,kosciusko,33.0576,-89.5876,19.12,68,100,1.89,US,1694501308
126,soio,-6.1349,12.3689,23.83,75,6,1.79,AO,1694501308
127,susuman,62.7833,148.1667,8.45,47,28,4.24,RU,1694501308
128,macia,-25.0269,33.0989,15.79,77,100,8.0,MZ,1694501308
129,sakakah,29.9697,40.2064,31.76,18,5,1.6,SA,1694501309
130,dubbo,-32.25,148.6167,22.07,28,100,4.63,AU,1694501309
131,grosseto,42.8333,11.25,22.87,82,0,2.57,IT,1694500902
132,holualoa,19.6228,-155.9522,24.91,79,75,2.57,US,1694501309
133,dudinka,69.4058,86.1778,9.79,66,97,8.42,RU,1694501309
134,uturoa,-16.7333,-151.4333,24.32,85,98,11.45,PF,1694501310
135,nhamunda,-2.1861,-56.7131,24.04,79,14,0.96,BR,1694501310
136,queenstown,-31.8976,26.8753,4.38,56,6,1.0,ZA,1694501310
137,thompson,55.7435,-97.8558,9.09,76,20,4.12,CA,1694501310
138,papao,-17.75,-149.55,22.82,89,98,11.44,PF,1694501310
139,klyuchi,52.2667,79.1667,18.93,45,67,7.88,RU,1694501311
140,invercargill,-46.4,168.35,5.57,86,100,5.81,NZ,1694501311
141,new norfolk,-42.7826,147.0587,13.73,72,93,1.09,AU,1694501311
142,margaret river,-33.95,115.0667,17.12,86,89,4.09,AU,1694501311
143,comacchio,44.6975,12.1858,22.81,50,100,1.21,IT,1694501312
144,dampit,-8.2116,112.7493,29.53,46,15,4.5,ID,1694501312
145,pangody,65.85,74.4859,13.56,57,100,5.0,RU,1694501312
146,anshun,26.25,105.9333,19.08,75,99,9.49,CN,1694501312
147,bozova,37.3625,38.5267,27.55,27,100,1.31,TR,1694501312
148,utrik,11.2278,169.8474,28.96,76,100,7.75,MH,1694501313
149,arraial do cabo,-22.9661,-42.0278,21.42,90,0,12.12,BR,1694501313
150,fale old settlement,-9.3852,-171.2468,28.48,75,100,6.29,TK,1694501313
151,timimoun,29.2639,0.231,29.21,24,0,2.57,DZ,1694501313
152,tolanaro,-25.0319,46.9987,26.04,61,0,2.57,MG,1694501313
153,port alfred,-33.5906,26.891,13.43,62,39,2.68,ZA,1694501314
154,iskateley,67.6803,53.1512,15.77,74,94,6.62,RU,1694501314
155,greenville,35.6127,-77.3663,21.74,97,0,0.0,US,1694501249
156,puerto ayora,-0.7393,-90.3518,23.64,87,48,3.58,EC,1694501314
157,antsiranana,-12.2787,49.2917,28.42,44,40,9.26,MG,1694501314
158,east london,-33.0153,27.9116,12.52,47,0,6.17,ZA,1694501108
159,mendi,-6.1761,143.6513,13.64,100,100,0.81,PG,1694501315
160,mata-utu,-13.2816,-176.1745,27.44,79,90,6.85,WF,1694501315
161,mount gambier,-37.8333,140.7667,18.19,55,56,3.42,AU,1694501315
162,kharp,66.8014,65.8081,15.84,65,38,2.64,RU,1694501316
163,chissamba,-12.1667,17.3333,24.07,32,1,1.64,AO,1694501316
164,along,28.1667,94.7667,32.11,51,98,1.9,IN,1694501316
165,revda,56.801,59.9303,15.33,56,94,5.21,RU,1694501316
166,loyew,51.9458,30.7953,20.15,38,0,2.25,BY,1694501317
167,torghay,49.6339,63.4981,12.72,87,100,7.34,KZ,1694501317
